cust_id,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
C00001,1,1,42,0,0,3,7
C00002,3,1,96,12,60,5,4
C00003,2,1,82,24,147,6,58
C00004,3,0,115,15,87,5,26
C00005,4,2,120,0,0,5,10
C00006,1,0,42,14,74,2,37
C00007,2,2,79,2,16,4,12
C00008,2,0,52,0,0,3,2
C00009,1,0,5,0,0,2,15
C00010,1,0,40,10,45,2,49
C00011,1,1,26,3,19,6,33
C00012,1,1,41,9,42,3,28
C00013,2,0,57,0,0,6,15
C00014,2,2,63,18,85,6,97
C00015,1,1,9,0,0,1,22
C00016,2,1,37,0,0,3,5
C00017,1,2,2,1,7,3,14
C00018,3,1,61,11,58,7,87
C00019,2,0,102,0,0,7,19
C00020,1,1,59,3,18,6,18
C00021,4,2,137,0,0,7,6
C00022,4,1,149,9,45,4,24
C00023,3,0,70,17,109,5,87
C00024,4,1,106,0,0,6,25
C00025,2,1,46,0,0,6,46
C00026,2,0,82,9,56,5,33
C00027,4,2,131,0,0,5,15
C00028,2,0,82,3,18,6,61
C00029,3,1,70,1,2,8,46
C00030,2,2,102,9,49,3,97
C00031,2,1,58,0,0,4,39
C00032,1,0,16,2,14,1,93
C00033,1,2,40,19,101,1,36
C00034,1,1,2,0,0,5,20
C00035,3,0,93,24,126,5,21
C00036,2,1,65,0,0,4,95
C00037,4,2,86,0,0,9,37
C00038,4,0,169,0,0,9,73
C00039,1,0,15,10,63,6,31
C00040,2,2,54,18,107,6,54
C00041,3,0,107,2,3,7,71
C00042,3,2,108,0,0,6,11
C00043,2,2,105,0,0,3,59
C00044,2,1,82,11,60,3,26
C00045,3,0,98,1,8,5,27
C00046,2,2,69,0,0,2,16
C00047,4,2,141,6,33,4,25
C00048,2,2,50,15,89,2,40
C00049,1,0,20,1,8,6,69
C00050,1,2,3,2,7,4,42
C00051,2,2,52,8,46,6,95
C00052,1,0,24,0,0,6,46
C00053,2,0,110,5,30,7,3
C00054,2,1,72,9,38,7,43
C00055,4,2,99,0,0,7,35
C00056,1,1,10,0,0,1,86
C00057,4,0,120,0,0,8,97
C00058,3,0,106,0,0,4,0
C00059,2,0,53,0,0,2,80
C00060,3,2,96,0,0,4,71
C00061,1,1,13,11,67,5,15
C00062,4,2,161,0,0,8,15
C00063,3,1,89,10,62,8,86
C00064,1,1,44,7,34,2,25
C00065,1,2,35,7,41,1,20
C00066,4,2,103,0,0,5,94
C00067,2,2,49,0,0,4,57
C00068,1,1,17,9,49,2,7
C00069,3,0,146,2,9,7,7
C00070,1,2,5,5,40,4,90
C00071,1,0,44,0,0,6,79
C00072,2,1,36,8,33,4,96
C00073,4,1,149,23,158,5,83
C00074,1,0,57,18,67,6,88
C00075,3,2,66,6,41,5,41
C00076,3,2,52,0,0,3,37
C00077,1,0,41,0,0,4,12
C00078,4,0,116,0,0,9,15
C00079,3,0,118,19,88,8,91
C00080,2,2,77,0,0,7,24
C00081,3,2,54,5,31,6,13
C00082,2,1,24,0,0,5,95
C00083,3,2,138,0,0,7,51
C00084,2,0,61,0,0,5,0
C00085,2,1,22,0,0,7,2
C00086,1,2,51,0,0,6,6
C00087,3,2,107,7,34,3,75
C00088,1,1,42,0,0,1,34
C00089,2,2,38,1,7,7,14
C00090,4,2,115,3,12,4,75
C00091,2,0,52,0,0,7,44
C00092,2,2,37,9,46,3,16
C00093,1,0,50,0,0,5,48
C00094,2,2,66,20,93,6,98
C00095,1,2,26,3,12,3,24
C00096,2,2,93,9,39,3,52
C00097,1,1,36,7,28,1,64
C00098,3,2,86,0,0,4,11
C00099,3,2,46,16,99,6,90
C00100,2,2,50,10,40,5,97
C00101,2,1,113,3,18,4,0
C00102,3,2,90,6,26,4,3
C00103,2,1,74,7,42,3,99
C00104,4,2,85,9,38,9,23
C00105,1,2,6,0,0,3,48
C00106,3,0,95,10,70,6,4
C00107,4,1,75,2,7,9,45
C00108,3,2,72,0,0,7,17
C00109,1,2,47,0,0,2,14
C00110,3,2,82,0,0,4,19
C00111,2,2,71,12,57,7,36
C00112,3,2,87,10,47,8,23
C00113,2,0,89,0,0,4,16
C00114,3,1,110,0,0,6,11
C00115,4,0,116,0,0,5,92
C00116,1,0,46,0,0,6,59
C00117,1,2,27,14,82,2,30
C00118,3,2,126,23,97,3,49
C00119,1,2,37,9,60,4,1
C00120,2,1,61,6,31,6,16
C00121,3,1,44,0,0,3,72
C00122,2,1,61,0,0,5,78
C00123,4,1,40,3,20,9,6
C00124,2,0,72,0,0,2,1
C00125,1,2,5,0,0,4,8
C00126,4,1,115,8,40,9,75
C00127,1,1,17,0,0,2,36
C00128,3,0,87,6,41,8,15
C00129,1,1,54,0,0,6,52
C00130,3,1,104,0,0,4,12
C00131,3,1,82,10,53,6,52
C00132,4,0,99,2,7,7,20
C00133,2,1,60,0,0,2,57
C00134,3,0,114,0,0,8,43
C00135,4,1,145,0,0,7,40
C00136,2,1,62,0,0,6,8
C00137,1,1,44,10,63,2,25
C00138,4,1,163,0,0,6,49
C00139,3,0,95,1,7,8,64
C00140,2,1,20,10,61,2,34
C00141,1,1,29,8,59,5,19
C00142,1,0,39,10,67,4,8
C00143,2,2,59,0,0,3,81
C00144,4,0,131,0,0,9,1
C00145,2,1,41,3,15,2,22
C00146,3,0,42,1,3,7,13
C00147,1,1,33,0,0,3,57
C00148,1,1,9,0,0,1,45
C00149,4,0,119,16,68,4,12
C00150,4,1,115,0,0,9,70
C00151,4,1,141,9,41,6,51
C00152,2,1,31,0,0,3,35
C00153,4,0,82,12,52,6,26
C00154,3,2,134,0,0,5,2
C00155,4,2,101,6,30,6,19
C00156,4,2,147,0,0,7,60
C00157,1,1,17,10,41,3,72
C00158,1,0,28,0,0,5,16
C00159,4,2,139,0,0,5,9
C00160,4,1,78,19,110,9,38
C00161,3,0,132,5,34,6,86
C00162,2,0,48,9,55,2,38
C00163,2,2,46,12,72,7,43
C00164,4,0,130,0,0,9,96
C00165,3,1,61,19,110,3,21
C00166,1,0,18,0,0,6,90
C00167,2,0,65,0,0,7,24
C00168,3,0,76,0,0,7,54
C00169,3,1,71,3,22,5,13
C00170,3,2,44,10,55,6,0
C00171,4,1,138,0,0,8,91
C00172,4,0,90,7,14,6,40
C00173,1,2,9,4,27,1,12
C00174,3,2,69,0,0,3,48
C00175,4,1,104,0,0,9,37
C00176,2,2,47,0,0,6,5
C00177,4,2,95,6,39,4,75
C00178,1,1,2,0,0,5,16
C00179,1,2,25,0,0,6,75
C00180,2,0,49,3,7,5,71
C00181,1,2,31,0,0,5,75
C00182,3,2,65,0,0,6,89
C00183,2,1,24,9,64,7,58
C00184,3,0,108,0,0,6,23
C00185,4,2,120,24,133,6,12
C00186,2,0,23,0,0,3,11
C00187,1,1,10,0,0,3,25
C00188,4,0,39,0,0,4,2
C00189,1,1,11,0,0,5,20
C00190,2,0,70,0,0,6,35
C00191,1,1,9,1,6,1,25
C00192,1,0,50,1,5,1,1
C00193,3,2,72,0,0,4,3
C00194,4,1,84,10,38,9,12
C00195,4,2,97,0,0,6,92
C00196,4,2,139,7,35,7,97
C00197,3,2,66,0,0,6,62
C00198,1,1,4,0,0,4,90
