cust_id,age,gender,marital_status,employment_status,income,number_of_dependants,residence_type,years_at_current_address,city,state,zipcode
C00001,44,M,Married,Self-Employed,2586000,3,Owned,27,Delhi,Delhi,110001
C00002,38,M,Married,Salaried,1206000,3,Owned,4,Chennai,Tamil Nadu,600001
C00003,46,F,Married,Self-Employed,2878000,3,Owned,24,Kolkata,West Bengal,700001
C00004,55,F,Single,Self-Employed,3547000,1,Owned,15,Bangalore,Karnataka,560001
C00005,37,M,Married,Salaried,3432000,3,Owned,28,Pune,Maharashtra,411001
C00006,37,M,Married,Self-Employed,1155000,5,Owned,5,Pune,Maharashtra,411001
C00007,55,M,Married,Self-Employed,3255000,3,Mortgage,21,Bangalore,Karnataka,560001
C00008,47,F,Single,Self-Employed,355000,0,Mortgage,3,Pune,Maharashtra,411001
C00009,35,M,Single,Salaried,1444000,1,Owned,5,Bangalore,Karnataka,560001
C00010,45,M,Single,Salaried,2230000,0,Owned,1,Jaipur,Rajasthan,302001
C00011,35,M,Single,Self-Employed,3207000,1,Owned,31,Kolkata,West Bengal,700001
C00012,35,F,Married,Salaried,1657000,2,Rented,20,Lucknow,Uttar Pradesh,226001
C00013,42,F,Single,Self-Employed,780000,0,Mortgage,16,Jaipur,Rajasthan,302001
C00014,20,F,Single,Self-Employed,3748000,0,Owned,18,Lucknow,Uttar Pradesh,226001
C00015,22,F,Single,Self-Employed,487000,2,Owned,20,Pune,Maharashtra,411001
C00016,34,F,Single,Self-Employed,579000,0,Rented,13,Kolkata,West Bengal,700001
C00017,29,F,Married,Salaried,157000,2,Owned,16,Mumbai,Maharashtra,400001
C00018,43,M,Single,Self-Employed,1368000,0,Mortgage,23,Ahmedabad,Gujarat,380001
C00019,30,M,Married,Salaried,1129000,2,Owned,4,Jaipur,Rajasthan,302001
C00020,25,F,Married,Self-Employed,153000,4,Owned,6,Jaipur,Rajasthan,302001
C00021,54,M,Married,Self-Employed,10028000,4,Owned,18,Lucknow,Uttar Pradesh,226001
C00022,37,M,Single,Salaried,1754000,1,Owned,5,Kolkata,West Bengal,700001
C00023,40,M,Married,Self-Employed,3768000,3,Rented,21,Delhi,Delhi,110001
C00024,25,F,Single,Self-Employed,10704000,0,Owned,13,Lucknow,Uttar Pradesh,226001
C00025,34,F,Married,Self-Employed,598000,4,Mortgage,6,Jaipur,Rajasthan,302001
C00026,41,F,Single,Self-Employed,9271000,1,Mortgage,3,Delhi,Delhi,110001
C00027,28,F,Married,Salaried,558000,3,Owned,4,Chennai,Tamil Nadu,600001
C00028,43,M,Single,Self-Employed,446000,1,Owned,4,Delhi,Delhi,110001
C00029,33,M,Married,Salaried,258000,3,Owned,10,Chennai,Tamil Nadu,600001
C00030,37,M,Married,Self-Employed,1915000,2,Owned,6,Chennai,Tamil Nadu,600001
C00031,33,M,Married,Salaried,446000,4,Mortgage,22,Bangalore,Karnataka,560001
C00032,58,F,Married,Self-Employed,353000,3,Owned,7,Lucknow,Uttar Pradesh,226001
C00033,39,M,Married,Self-Employed,2900000,4,Owned,19,Pune,Maharashtra,411001
C00034,29,M,Married,Self-Employed,1105000,3,Owned,9,Kolkata,West Bengal,700001
C00035,48,M,Married,Self-Employed,2932000,2,Rented,10,Lucknow,Uttar Pradesh,226001
C00036,27,M,Single,Salaried,2229000,1,Owned,8,Pune,Maharashtra,411001
C00037,42,M,Single,Salaried,601000,0,Mortgage,1,Ahmedabad,Gujarat,380001
C00038,20,M,Single,Self-Employed,6219000,0,Owned,27,Pune,Maharashtra,411001
C00039,26,M,Single,Salaried,11960000,0,Owned,27,Delhi,Delhi,110001
C00040,41,M,Single,Self-Employed,7213000,0,Rented,8,Hyderabad,Telangana,500001
